id,rsc29,inversa,inversa a informarnte,captacion
139,"[{""section_id"": ""139"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""141"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",141,141
140,"[{""section_id"": ""140"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""142"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",142,142
141,"[{""section_id"": ""141"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""143"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",143,143
142,"[{""section_id"": ""142"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""144"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",144,144
143,"[{""section_id"": ""143"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""145"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",145,145
144,"[{""section_id"": ""144"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""146"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",146,146
145,"[{""section_id"": ""145"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""147"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",147,147
146,"[{""section_id"": ""146"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""148"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",148,148
147,"[{""section_id"": ""147"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""149"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",149,149
148,"[{""section_id"": ""148"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""150"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",150,150
149,"[{""section_id"": ""149"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""151"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",151,151
150,"[{""section_id"": ""150"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""152"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",152,152
151,"[{""section_id"": ""151"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""153"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",153,153
152,"[{""section_id"": ""152"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""154"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",154,154
153,"[{""section_id"": ""153"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""155"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",155,155
154,"[{""section_id"": ""154"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""156"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",156,156
155,"[{""section_id"": ""155"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""157"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",157,157
156,"[{""section_id"": ""156"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""158"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",158,158
157,"[{""section_id"": ""157"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""159"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",159,159
158,"[{""section_id"": ""158"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""160"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",160,161
159,"[{""section_id"": ""159"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""163"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",163,162
160,"[{""section_id"": ""160"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""164"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",164,163
161,"[{""section_id"": ""161"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""165"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",165,164
162,"[{""section_id"": ""162"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""166"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",166,165
163,"[{""section_id"": ""163"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""167"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",167,166
164,"[{""section_id"": ""164"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""168"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",168,167
165,"[{""section_id"": ""165"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""169"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",169,169
166,"[{""section_id"": ""166"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""170"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",170,170
167,"[{""section_id"": ""167"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""171"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",171,171
168,"[{""section_id"": ""168"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""172"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",172,172
169,"[{""section_id"": ""169"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""173"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",173,173
170,"[{""section_id"": ""170"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""174"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",174,174
171,"[{""section_id"": ""171"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""175"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",175,175
172,"[{""section_id"": ""172"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""176"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",176,176
173,"[{""section_id"": ""173"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""177"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",177,177
174,"[{""section_id"": ""174"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""178"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",178,178
175,"[{""section_id"": ""175"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""179"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",179,179
176,"[{""section_id"": ""176"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""180"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",180,180
177,"[{""section_id"": ""177"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""181"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",181,181
178,"[{""section_id"": ""178"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""182"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",182,182
179,"[{""section_id"": ""179"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""183"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",183,183
180,"[{""section_id"": ""180"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""184"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",184,184
181,"[{""section_id"": ""181"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""185"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",185,185
182,"[{""section_id"": ""182"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""186"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",186,186
183,"[{""section_id"": ""183"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""187"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",187,188
184,"[{""section_id"": ""184"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""188"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",188,189
185,"[{""section_id"": ""185"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""189"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",189,190
186,"[{""section_id"": ""186"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""190"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",190,191
187,"[{""section_id"": ""187"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""191"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",191,192
188,"[{""section_id"": ""188"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""192"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",192,194
189,"[{""section_id"": ""189"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""193"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",193,545
190,"[{""section_id"": ""190"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""195"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",195,196
191,"[{""section_id"": ""191"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""197"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",197,198
192,"[{""section_id"": ""192"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""198"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",198,88
193,"[{""section_id"": ""193"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""199"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",199,92
194,"[{""section_id"": ""194"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""200"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",200,93
195,"[{""section_id"": ""195"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""201"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",201,79
196,"[{""section_id"": ""196"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""202"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",202,79
197,"[{""section_id"": ""197"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""203"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",203,199
198,"[{""section_id"": ""198"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""204"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",204,199
199,"[{""section_id"": ""199"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""205"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",205,200
200,"[{""section_id"": ""200"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""206"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",206,200
201,"[{""section_id"": ""201"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""207"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",207,201
202,"[{""section_id"": ""202"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""208"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",208,202
203,"[{""section_id"": ""203"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""209"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",209,203
204,"[{""section_id"": ""204"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""210"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",210,205
205,"[{""section_id"": ""205"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""211"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",211,206
206,"[{""section_id"": ""206"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""212"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",212,207
207,"[{""section_id"": ""207"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""213"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",213,208
208,"[{""section_id"": ""208"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""214"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",214,209
209,"[{""section_id"": ""209"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""215"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",215,210
210,"[{""section_id"": ""210"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""216"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",216,212
211,"[{""section_id"": ""211"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""217"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",217,211
212,"[{""section_id"": ""212"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""218"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",218,213
213,"[{""section_id"": ""213"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""219"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",219,214
214,"[{""section_id"": ""214"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""220"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",220,215
215,"[{""section_id"": ""215"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""222"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",222,219
216,"[{""section_id"": ""216"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""223"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",223,217
217,"[{""section_id"": ""217"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""224"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",224,220
218,"[{""section_id"": ""218"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""225"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",225,222
219,"[{""section_id"": ""219"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""226"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",226,223
220,"[{""section_id"": ""220"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""227"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",227,224
221,"[{""section_id"": ""221"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""228"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",228,225
222,"[{""section_id"": ""222"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""229"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",229,227
223,"[{""section_id"": ""223"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""230"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",230,228
224,"[{""section_id"": ""224"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""231"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",231,229
225,"[{""section_id"": ""225"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""232"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",232,230
226,"[{""section_id"": ""226"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""233"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",233,231
227,"[{""section_id"": ""227"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""234"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",234,232
228,"[{""section_id"": ""228"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""235"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",235,233
229,"[{""section_id"": ""229"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""236"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",236,234
230,"[{""section_id"": ""230"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""237"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",237,235
231,"[{""section_id"": ""231"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""238"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",238,236
232,"[{""section_id"": ""232"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""239"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",239,237
233,"[{""section_id"": ""233"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""240"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",240,238
234,"[{""section_id"": ""234"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""241"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",241,239
235,"[{""section_id"": ""235"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""242"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",242,241
236,"[{""section_id"": ""236"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""243"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",243,240
237,"[{""section_id"": ""237"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""244"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",244,226
238,"[{""section_id"": ""238"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""245"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",245,242
239,"[{""section_id"": ""239"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""246"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",246,218
240,"[{""section_id"": ""240"",""section_tipo"": ""rsc170"",""component_tipo"": ""rsc29""}]","[{""section_id"": ""247"",""section_tipo"": ""rsc197"",""component_tipo"": ""rsc88""}]",247,243
